指标名称,指标值
microsoft_fluentui,7.26
microsoft_onnxruntime,8.45
microsoft_playwright,4.2
microsoft_PowerToys,5.92
microsoft_terminal,10.0
microsoft_TypeScript,6.29
microsoft_vcpkg,5.68
microsoft_vscode,3.16
microsoft_vscode-jupyter,4.37
microsoft_winget-pkgs,3.66
microsoft_WSL,2.02
MicrosoftDocs_azure-docs,3.14
MicrosoftDocs_microsoft-365-docs,3.73
MicrosoftDocs_msteams-docs,4.17
microsoftgraph_microsoft-graph-docs,6.73
mlflow_mlflow,8.71
mozilla-mobile_fenix,4.69
mrdoob_three.js,3.55
mui_material-ui,4.87
mui_mui-x,6.28
neovim_neovim,6.3
newrelic_docs-website,3.54
nextcloud_desktop,5.78
nextcloud_server,3.78
NixOS_nixpkgs,4.35
nodejs_node,1.64
nrfconnect_sdk-nrf,10.0
nrwl_nx,3.93
nuxt_framework,3.86
o3de_o3de,8.76
obsproject_obs-studio,4.5
odoo_odoo,3.07
open-mmlab_mmdetection,7.32
open-telemetry_opentelemetry-collector-contrib,4.93
OpenAPITools_openapi-generator,4.59
opencv_opencv,6.1
openhab_openhab-addons,10.0
openjdk_jdk,6.01
openjournals_joss-reviews,2.59
openshift_openshift-docs,5.86
openshift_release,3.98
openssl_openssl,8.74
openvinotoolkit_openvino,8.17
openwrt_openwrt,6.05
oppia_oppia,10.0
PaddlePaddle_Paddle,5.48
PaddlePaddle_PaddleOCR,3.95
pandas-dev_pandas,8.35
php_php-src,4.45
pingcap_tidb,6.39
PixelExperience_android-issues,0.0
postmanlabs_postman-app-support,0.99
PowerShell_PowerShell,8.86
ppy_osu,5.61
PrestaShop_PrestaShop,6.72
prisma_prisma,4.23
project-chip_connectedhomeip,6.64
prusa3d_PrusaSlicer,1.93
python_cpython,4.05
pytorch_pytorch,5.78
qbittorrent_qBittorrent,10.0
qgis_QGIS,4.76
qmk_qmk-firmware,7.52
quarkusio_quarkus,6.4
rails_rails,5.26
rancher_rancher,4.93
rapid7_metasploit-framework,7.79
ray-project_ray,8.25
raycast_extensions,4.89
redis_redis,6.59
Regalis11_Barotrauma,2.24
remix-run_remix,3.94
renovatebot_renovate,5.97
RocketChat_Rocket.Chat,4.81
RPCS3_rpcs3,5.22
rstudio_rstudio,4.91
ruffle-rs_ruffle,3.03
rust-lang_rust,6.26
scikit-learn_scikit-learn,10.0
scipy_scipy,9.03
section-engineering-education_engineering-education,7.69
SerenityOS_serenity,5.82
ShadowMario_FNF-PsychEngine,2.3
Skyrat-SS13_Skyrat-tg,3.99
solana-labs_solana,4.89
solana-labs_token-list,2.34
sourcegraph_sourcegraph,5.26
spack_spack,5.74
spyder-ide_spyder,6.17
storybookjs_storybook,4.17
strapi_strapi,4.89
sveltejs_kit,4.7
symfony_symfony,6.38
systemd_systemd,6.56
tachiyomiorg_tachiyomi,4.6
tachiyomiorg_tachiyomi-extensions,3.8
tailscale_tailscale,6.94
taosdata_TDengine,3.21
taozhiyu_TyProAction,0.58
TeamNewPipe_NewPipe,5.96
tensorflow_tensorflow,5.33
termux_termux-packages,3.34
tgstation_tgstation,4.7
TP-Lab_tokens,3.2
trinodb_trino,10.0
trustwallet_assets,2.26
type-challenges_type-challenges,3.65
uBlockOrigin_uAssets,2.32
Ultimaker_Cura,5.56
ultralytics_yolov5,3.03
unifyai_ivy,1.9
ValveSoftware_Dota2-Gameplay,0.3
ValveSoftware_Proton,2.29
vectordotdev_vector,7.0
vercel_next.js,4.39
vitejs_vite,4.78
void-linux_void-packages,3.35
webcompat_web-bugs,0.28
wjz304_Redpill-CustomBuild,0.42
woocommerce_woocommerce,4.14
WordPress_gutenberg,7.37
xamarin_xamarin-macios,4.6
xbmc_xbmc,5.15
yt-dlp_yt-dlp,9.76
yuzu-emu_yuzu,5.26
zephyrproject-rtos_zephyr,8.35
zero-to-mastery_start-here-guidelines,2.63
ziglang_zig,4.68
zulip_zulip,5.51
