指标名称,指标值
Homebrew_homebrew-core,85.0
huggingface_transformers,53.0
idsb3t1_KEEP-pipeline-tests-resources,22.0
influxdata_telegraf,94.0
IntelRealSense_librealsense,87.0
istio_istio,76.0
JacksonKearl_testissues,34.0
JetBrains_swot,99.0
jitsi_jitsi-meet,99.0
jlord_patchwork,99.0
joomla_joomla-cms,99.0
JuliaLang_julia,99.0
JuliaRegistries_General,67.0
Kaiserreich_Kaiserreich-4,63.0
keycloak_keycloak,99.0
Koenkk_zigbee2mqtt,60.0
kubernetes_kubernetes,99.0
kubernetes_minikube,84.0
kubernetes_test-infra,84.0
kubernetes_website,86.0
kubevirt_kubevirt,76.0
laravel_framework,99.0
leanprover-community_mathlib,69.0
LeetCode-Feedback_LeetCode-Feedback,38.0
lensapp_lens,52.0
Lightning-AI_lightning,49.0
llvm_llvm-project,53.0
logseq_logseq,34.0
macports_macports-ports,78.0
magento_magento2,99.0
MarlinFirmware_Marlin,99.0
mastodon_mastodon,84.0
matplotlib_matplotlib,99.0
matrix-org_synapse,99.0
mattermost_mattermost-webapp,67.0
mdn_content,31.0
mdn_translated-content,28.0
metabase_metabase,90.0
MetaMask_eth-phishing-detect,68.0
MetaMask_metamask-extension,81.0
metersphere_metersphere,34.0
microsoft_azuredatastudio,65.0
microsoft_fluentui,81.0
microsoft_onnxruntime,52.0
microsoft_playwright,39.0
microsoft_PowerToys,47.0
microsoft_terminal,68.0
microsoft_TypeScript,99.0
microsoft_vcpkg,79.0
microsoft_vscode,29.0
microsoft_vscode-jupyter,29.0
microsoft_winget-pkgs,35.0
microsoft_WSL,84.0
MicrosoftDocs_azure-docs,77.0
MicrosoftDocs_microsoft-365-docs,63.0
MicrosoftDocs_msteams-docs,66.0
microsoftgraph_microsoft-graph-docs,89.0
mlflow_mlflow,58.0
mozilla-mobile_fenix,61.0
mrdoob_three.js,99.0
mui_material-ui,99.0
mui_mui-x,33.0
neovim_neovim,99.0
newrelic_docs-website,32.0
nextcloud_desktop,67.0
nextcloud_server,82.0
NixOS_nixpkgs,99.0
nodejs_node,99.0
nrfconnect_sdk-nrf,52.0
nrwl_nx,68.0
nuxt_framework,18.0
o3de_o3de,21.0
obsproject_obs-studio,99.0
odoo_odoo,99.0
open-mmlab_mmdetection,55.0
open-telemetry_opentelemetry-collector-contrib,45.0
OpenAPITools_openapi-generator,59.0
opencv_opencv,99.0
openhab_openhab-addons,99.0
openjdk_jdk,55.0
openjournals_joss-reviews,83.0
openshift_openshift-docs,99.0
openshift_release,77.0
openssl_openssl,99.0
openvinotoolkit_openvino,54.0
openwrt_openwrt,89.0
oppia_oppia,92.0
PaddlePaddle_Paddle,35.0
PaddlePaddle_PaddleOCR,35.0
pandas-dev_pandas,99.0
php_php-src,99.0
pingcap_tidb,91.0
PixelExperience_android-issues,24.0
postmanlabs_postman-app-support,99.0
PowerShell_PowerShell,80.0
ppy_osu,96.0
PrestaShop_PrestaShop,99.0
prisma_prisma,46.0
project-chip_connectedhomeip,33.0
prusa3d_PrusaSlicer,85.0
python_cpython,74.0
pytorch_pytorch,75.0
qbittorrent_qBittorrent,99.0
qgis_QGIS,99.0
qmk_qmk-firmware,99.0
quarkusio_quarkus,49.0
rails_rails,99.0
rancher_rancher,99.0
rapid7_metasploit-framework,99.0
ray-project_ray,78.0
raycast_extensions,18.0
redis_redis,99.0
Regalis11_Barotrauma,70.0
remix-run_remix,17.0
renovatebot_renovate,75.0
RocketChat_Rocket.Chat,95.0
RPCS3_rpcs3,99.0
rstudio_rstudio,99.0
ruffle-rs_ruffle,46.0
rust-lang_rust,99.0
scikit-learn_scikit-learn,99.0
scipy_scipy,99.0
section-engineering-education_engineering-education,44.0
SerenityOS_serenity,52.0
ShadowMario_FNF-PsychEngine,21.0
Skyrat-SS13_Skyrat-tg,33.0
solana-labs_solana,62.0
solana-labs_token-list,28.0
sourcegraph_sourcegraph,69.0
spack_spack,99.0
spyder-ide_spyder,98.0
storybookjs_storybook,85.0
strapi_strapi,91.0
sveltejs_kit,25.0
symfony_symfony,99.0
systemd_systemd,97.0
tachiyomiorg_tachiyomi,75.0
tachiyomiorg_tachiyomi-extensions,75.0
tailscale_tailscale,38.0
taosdata_TDengine,45.0
taozhiyu_TyProAction,5.0
TeamNewPipe_NewPipe,91.0
tensorflow_tensorflow,89.0
termux_termux-packages,94.0
tgstation_tgstation,99.0
TP-Lab_tokens,23.0
trinodb_trino,51.0
trustwallet_assets,44.0
type-challenges_type-challenges,31.0
uBlockOrigin_uAssets,84.0
Ultimaker_Cura,95.0
ultralytics_yolov5,35.0
unifyai_ivy,27.0
ValveSoftware_Dota2-Gameplay,10.0
ValveSoftware_Proton,56.0
vectordotdev_vector,45.0
vercel_next.js,78.0
vitejs_vite,36.0
void-linux_void-packages,58.0
webcompat_web-bugs,99.0
wjz304_Redpill-CustomBuild,9.0
woocommerce_woocommerce,99.0
WordPress_gutenberg,74.0
xamarin_xamarin-macios,84.0
xbmc_xbmc,99.0
yt-dlp_yt-dlp,30.0
yuzu-emu_yuzu,63.0
zephyrproject-rtos_zephyr,83.0
zero-to-mastery_start-here-guidelines,63.0
ziglang_zig,90.0
zulip_zulip,91.0
