指标名称,指标值
ppy_osu,3.0
PrestaShop_PrestaShop,3.0
prisma_prisma,3.0
project-chip_connectedhomeip,3.0
prusa3d_PrusaSlicer,3.0
python_cpython,3.0
pytorch_pytorch,4.0
qbittorrent_qBittorrent,3.0
qgis_QGIS,3.0
qmk_qmk-firmware,3.0
quarkusio_quarkus,3.0
rails_rails,3.0
rancher_rancher,3.0
rapid7_metasploit-framework,3.0
ray-project_ray,3.0
raycast_extensions,3.0
redis_redis,3.0
Regalis11_Barotrauma,3.0
remix-run_remix,3.0
renovatebot_renovate,3.0
RocketChat_Rocket.Chat,3.0
RPCS3_rpcs3,3.0
rstudio_rstudio,3.0
ruffle-rs_ruffle,3.0
rust-lang_rust,4.0
scikit-learn_scikit-learn,3.0
scipy_scipy,3.0
section-engineering-education_engineering-education,3.0
SerenityOS_serenity,3.0
ShadowMario_FNF-PsychEngine,3.0
Skyrat-SS13_Skyrat-tg,3.0
solana-labs_solana,3.0
solana-labs_token-list,4.0
sourcegraph_sourcegraph,3.0
spack_spack,3.0
spyder-ide_spyder,3.0
storybookjs_storybook,3.0
strapi_strapi,3.0
sveltejs_kit,3.0
symfony_symfony,3.0
systemd_systemd,3.0
tachiyomiorg_tachiyomi,3.0
tachiyomiorg_tachiyomi-extensions,3.0
tailscale_tailscale,3.0
taosdata_TDengine,3.0
taozhiyu_TyProAction,4.0
TeamNewPipe_NewPipe,3.0
tensorflow_tensorflow,4.0
termux_termux-packages,3.0
tgstation_tgstation,3.0
TP-Lab_tokens,3.0
trinodb_trino,3.0
trustwallet_assets,4.0
type-challenges_type-challenges,3.0
uBlockOrigin_uAssets,3.0
Ultimaker_Cura,3.0
ultralytics_yolov5,3.0
unifyai_ivy,3.0
ValveSoftware_Dota2-Gameplay,4.0
ValveSoftware_Proton,3.0
vectordotdev_vector,3.0
vercel_next.js,4.0
vitejs_vite,3.0
void-linux_void-packages,3.0
webcompat_web-bugs,3.0
wjz304_Redpill-CustomBuild,4.0
woocommerce_woocommerce,3.0
WordPress_gutenberg,3.0
xamarin_xamarin-macios,3.0
xbmc_xbmc,3.0
yt-dlp_yt-dlp,3.0
yuzu-emu_yuzu,3.0
zephyrproject-rtos_zephyr,3.0
zero-to-mastery_start-here-guidelines,3.0
ziglang_zig,3.0
zulip_zulip,3.0
